instance;exact_val;exact_time;apx_val;apx_time
../../../allInst/rg-016-q-1x1.0009.ccpdp;475686;632;475686;68
../../../allInst/rg-016-q-1x1.0010.ccpdp;463031;390;510748;84
../../../allInst/rg-016-q-2x2-W0.1.0001.ccpdp;361332;237;361332;35
../../../allInst/rg-016-q-2x2-W0.1.0002.ccpdp;370810;494;375010;51
../../../allInst/rg-016-q-2x2-W0.1.0003.ccpdp;378039;262;378039;35
../../../allInst/rg-016-q-2x2-W0.1.0004.ccpdp;394599;887;498175;62
../../../allInst/rg-016-q-2x2-W0.1.0005.ccpdp;442978;394;442978;52
../../../allInst/rg-016-q-2x2-W0.1.0006.ccpdp;429018;221;429018;52
../../../allInst/rg-016-q-2x2-W0.1.0007.ccpdp;355438;361;355438;43
../../../allInst/rg-016-q-2x2-W0.1.0008.ccpdp;463739;289;463739;70
../../../allInst/rg-016-q-2x2-W0.1.0009.ccpdp;421106;650;421106;41
../../../allInst/rg-016-q-2x2-W0.1.0010.ccpdp;421985;515;431560;87
../../../allInst/rg-016-q-2x2-W0.2.0001.ccpdp;331495;120;331495;35
../../../allInst/rg-016-q-2x2-W0.2.0002.ccpdp;329607;231;333341;33
../../../allInst/rg-016-q-2x2-W0.2.0003.ccpdp;336034;89;336034;26
../../../allInst/rg-016-q-2x2-W0.2.0004.ccpdp;355788;169;355788;48
../../../allInst/rg-016-q-2x2-W0.2.0005.ccpdp;400551;168;400551;48
../../../allInst/rg-016-q-2x2-W0.2.0006.ccpdp;392068;1163;392068;39
../../../allInst/rg-016-q-2x2-W0.2.0007.ccpdp;326880;307;326880;36
../../../allInst/rg-016-q-2x2-W0.2.0008.ccpdp;427493;141;427493;52
../../../allInst/rg-016-q-2x2-W0.2.0009.ccpdp;374314;178;374314;25
../../../allInst/rg-016-q-2x2-W0.2.0010.ccpdp;376353;136;376353;75
../../../allInst/rg-016-q-2x2-W0.3.0001.ccpdp;302090;127;302090;40
../../../allInst/rg-016-q-2x2-W0.3.0002.ccpdp;288406;128;291673;26
../../../allInst/rg-016-q-2x2-W0.3.0003.ccpdp;294031;115;294031;24
../../../allInst/rg-016-q-2x2-W0.3.0004.ccpdp;311318;133;311318;30
../../../allInst/rg-016-q-2x2-W0.3.0005.ccpdp;350483;106;350483;23
../../../allInst/rg-016-q-2x2-W0.3.0006.ccpdp;346041;480;346041;34
../../../allInst/rg-016-q-2x2-W0.3.0007.ccpdp;288666;182;307524;33
../../../allInst/rg-016-q-2x2-W0.3.0008.ccpdp;386083;71;386083;40
../../../allInst/rg-016-q-2x2-W0.3.0009.ccpdp;327524;86;327524;17
../../../allInst/rg-016-q-2x2-W0.3.0010.ccpdp;329314;127;329314;42
../../../allInst/rg-016-q-2x2-W0.4.0001.ccpdp;259178;99;259178;17
../../../allInst/rg-016-q-2x2-W0.4.0002.ccpdp;247206;96;250007;27
../../../allInst/rg-016-q-2x2-W0.4.0003.ccpdp;252025;103;252025;23
../../../allInst/rg-016-q-2x2-W0.4.0004.ccpdp;266842;82;266842;21
../../../allInst/rg-016-q-2x2-W0.4.0005.ccpdp;300415;94;300415;20
../../../allInst/rg-016-q-2x2-W0.4.0006.ccpdp;296610;147;296610;25
../../../allInst/rg-016-q-2x2-W0.4.0007.ccpdp;247431;137;263595;24
../../../allInst/rg-016-q-2x2-W0.4.0008.ccpdp;333004;36;333004;17
../../../allInst/rg-016-q-2x2-W0.4.0009.ccpdp;280737;52;280737;18
../../../allInst/rg-016-q-2x2-W0.4.0010.ccpdp;282263;42;282263;23
../../../allInst/rg-016-q-2x2.0001.ccpdp;392014;276;392014;34
../../../allInst/rg-016-q-2x2.0002.ccpdp;398098;594;481670;67
../../../allInst/rg-016-q-2x2.0003.ccpdp;420046;340;420046;39
../../../allInst/rg-016-q-2x2.0004.ccpdp;418455;625;521886;63
../../../allInst/rg-016-q-2x2.0005.ccpdp;476152;673;492914;87
../../../allInst/rg-016-q-2x2.0006.ccpdp;460513;706;553913;51
../../../allInst/rg-016-q-2x2.0007.ccpdp;381189;328;381189;29
../../../allInst/rg-016-q-2x2.0008.ccpdp;487072;444;487072;85
../../../allInst/rg-016-q-2x2.0009.ccpdp;452674;1526;452674;64
../../../allInst/rg-016-q-2x2.0010.ccpdp;449384;617;629810;95
../../../allInst/rg-016-q-3x3-W0.1.0001.ccpdp;392745;349;392745;52
../../../allInst/rg-016-q-3x3-W0.1.0002.ccpdp;350627;133;350627;24
../../../allInst/rg-016-q-3x3-W0.1.0003.ccpdp;408624;285;408624;46
../../../allInst/rg-016-q-3x3-W0.1.0004.ccpdp;377112;49;377112;10
../../../allInst/rg-016-q-3x3-W0.1.0005.ccpdp;292237;40;292237;11
../../../allInst/rg-016-q-3x3-W0.1.0006.ccpdp;387656;115;387656;42
../../../allInst/rg-016-q-3x3-W0.1.0007.ccpdp;309502;37;309502;12
../../../allInst/rg-016-q-3x3-W0.1.0008.ccpdp;362309;365;362309;28
../../../allInst/rg-016-q-3x3-W0.1.0009.ccpdp;422077;103;422077;45
../../../allInst/rg-016-q-3x3-W0.1.0010.ccpdp;414153;140;414153;43
../../../allInst/rg-016-q-3x3-W0.2.0001.ccpdp;365070;263;365070;37
../../../allInst/rg-016-q-3x3-W0.2.0002.ccpdp;325269;88;325269;22
../../../allInst/rg-016-q-3x3-W0.2.0003.ccpdp;369403;82;369403;19
../../../allInst/rg-016-q-3x3-W0.2.0004.ccpdp;335211;60;335211;10
../../../allInst/rg-016-q-3x3-W0.2.0005.ccpdp;262043;37;262043;13
../../../allInst/rg-016-q-3x3-W0.2.0006.ccpdp;365389;59;365389;22
../../../allInst/rg-016-q-3x3-W0.2.0007.ccpdp;275352;27;275352;9
../../../allInst/rg-016-q-3x3-W0.2.0008.ccpdp;329426;133;329426;21
../../../allInst/rg-016-q-3x3-W0.2.0009.ccpdp;382529;64;382529;21
../../../allInst/rg-016-q-3x3-W0.2.0010.ccpdp;368137;84;368137;15
../../../allInst/rg-016-q-3x3-W0.3.0001.ccpdp;320416;217;320416;20
../../../allInst/rg-016-q-3x3-W0.3.0002.ccpdp;290686;67;290686;15
../../../allInst/rg-016-q-3x3-W0.3.0003.ccpdp;325226;46;325226;15
../../../allInst/rg-016-q-3x3-W0.3.0004.ccpdp;293312;39;293312;11
../../../allInst/rg-016-q-3x3-W0.3.0005.ccpdp;229282;27;229282;14
../../../allInst/rg-016-q-3x3-W0.3.0006.ccpdp;330387;55;330387;15
../../../allInst/rg-016-q-3x3-W0.3.0007.ccpdp;240938;26;240938;10
../../../allInst/rg-016-q-3x3-W0.3.0008.ccpdp;288256;49;288256;12
../../../allInst/rg-016-q-3x3-W0.3.0009.ccpdp;336217;44;336217;18
../../../allInst/rg-016-q-3x3-W0.3.0010.ccpdp;322121;60;322121;15
../../../allInst/rg-016-q-3x3-W0.4.0001.ccpdp;274643;36;274643;14
../../../allInst/rg-016-q-3x3-W0.4.0002.ccpdp;249156;32;249156;15
../../../allInst/rg-016-q-3x3-W0.4.0003.ccpdp;278769;45;278769;15
../../../allInst/rg-016-q-3x3-W0.4.0004.ccpdp;251408;39;251408;11
../../../allInst/rg-016-q-3x3-W0.4.0005.ccpdp;196532;27;196532;14
../../../allInst/rg-016-q-3x3-W0.4.0006.ccpdp;283184;41;283184;17
../../../allInst/rg-016-q-3x3-W0.4.0007.ccpdp;206517;26;206517;10
../../../allInst/rg-016-q-3x3-W0.4.0008.ccpdp;247069;49;247069;12
../../../allInst/rg-016-q-3x3-W0.4.0009.ccpdp;288182;31;288182;13
../../../allInst/rg-016-q-3x3-W0.4.0010.ccpdp;276103;42;276103;14
../../../allInst/rg-016-q-3x3.0001.ccpdp;415566;555;484977;90
../../../allInst/rg-016-q-3x3.0002.ccpdp;369017;231;369017;23
../../../allInst/rg-016-q-3x3.0003.ccpdp;431622;973;498776;47
../../../allInst/rg-016-q-3x3.0004.ccpdp;419014;188;419014;17
../../../allInst/rg-016-q-3x3.0005.ccpdp;318953;41;318953;11
../../../allInst/rg-016-q-3x3.0006.ccpdp;404028;172;404028;31
../../../allInst/rg-016-q-3x3.0007.ccpdp;337048;49;337048;13
../../../allInst/rg-016-q-3x3.0008.ccpdp;384133;333;497076;60
../../../allInst/rg-016-q-3x3.0009.ccpdp;459688;293;459688;47
../../../allInst/rg-016-q-3x3.0010.ccpdp;446162;264;446162;19
../../../allInst/rg-016-q-4x4-W0.1.0001.ccpdp;312585;153;312585;18
../../../allInst/rg-016-q-4x4-W0.1.0002.ccpdp;232795;42;232795;16
../../../allInst/rg-016-q-4x4-W0.1.0003.ccpdp;313225;162;313225;37
../../../allInst/rg-016-q-4x4-W0.1.0004.ccpdp;322173;32;322173;14
../../../allInst/rg-016-q-4x4-W0.1.0005.ccpdp;301442;61;301442;24
../../../allInst/rg-016-q-4x4-W0.1.0006.ccpdp;270233;36;270233;10
../../../allInst/rg-016-q-4x4-W0.1.0007.ccpdp;230868;52;230868;20
../../../allInst/rg-016-q-4x4-W0.1.0008.ccpdp;341973;127;341973;63
../../../allInst/rg-016-q-4x4-W0.1.0009.ccpdp;364166;79;364166;53
../../../allInst/rg-016-q-4x4-W0.1.0010.ccpdp;377195;49;377195;25
../../../allInst/rg-016-q-4x4-W0.2.0001.ccpdp;281787;98;281787;18
../../../allInst/rg-016-q-4x4-W0.2.0002.ccpdp;206926;43;206926;16
../../../allInst/rg-016-q-4x4-W0.2.0003.ccpdp;287131;88;287131;29
../../../allInst/rg-016-q-4x4-W0.2.0004.ccpdp;286380;22;286380;12
../../../allInst/rg-016-q-4x4-W0.2.0005.ccpdp;267944;38;267944;22
../../../allInst/rg-016-q-4x4-W0.2.0006.ccpdp;240207;25;240207;10
../../../allInst/rg-016-q-4x4-W0.2.0007.ccpdp;205215;66;205215;14
../../../allInst/rg-016-q-4x4-W0.2.0008.ccpdp;307943;85;307943;26
../../../allInst/rg-016-q-4x4-W0.2.0009.ccpdp;323704;39;323704;38
../../../allInst/rg-016-q-4x4-W0.2.0010.ccpdp;336388;41;336388;13
../../../allInst/rg-016-q-4x4-W0.3.0001.ccpdp;246561;48;246561;14
../../../allInst/rg-016-q-4x4-W0.3.0002.ccpdp;181062;33;181062;16
../../../allInst/rg-016-q-4x4-W0.3.0003.ccpdp;261533;43;261533;15
../../../allInst/rg-016-q-4x4-W0.3.0004.ccpdp;250579;21;250579;12
../../../allInst/rg-016-q-4x4-W0.3.0005.ccpdp;234453;42;234453;18
../../../allInst/rg-016-q-4x4-W0.3.0006.ccpdp;210185;23;210185;10
../../../allInst/rg-016-q-4x4-W0.3.0007.ccpdp;179561;42;179561;10
../../../allInst/rg-016-q-4x4-W0.3.0008.ccpdp;269449;30;269449;18
