instance;num_vertices;relaxed_val;relaxed_time;survive_net_val;survive_net_time;gomory_hu_val;gomory_hu_time;perfect_matching_val;perfect_matching_time;short_cutting_val;short_cutting_time
../../../testInst/m5Q30s888.tsp.ccpdp;12;2000.49;0;2987.25;1;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q30s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/m5Q500s000.tsp.ccpdp;12;2560.75;0;4721.4;1;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q500s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q500s222.tsp.ccpdp;12;1637.83;0;2909.4;1;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q500s333.tsp.ccpdp;12;2982.57;0;3451.62;1;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q500s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q500s555.tsp.ccpdp;12;1911.49;1;2850.81;2;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q500s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q500s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
../../../testInst/m5Q500s888.tsp.ccpdp;12;2000.49;0;2987.25;1;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q500s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/m5Q5s000.tsp.ccpdp;12;2560.75;0;4721.4;1;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q5s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q5s222.tsp.ccpdp;12;1637.83;0;2909.4;2;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q5s333.tsp.ccpdp;12;2982.57;0;3451.62;1;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q5s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q5s555.tsp.ccpdp;12;1911.49;0;2850.81;1;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q5s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q5s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
../../../testInst/m5Q5s888.tsp.ccpdp;12;2000.49;0;2987.25;1;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q5s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/rg-016-q-1x1.0001.ccpdp;32;373406;1;504756;8;0;0;504756;0;512110;0
../../../testInst/rg-016-q-1x1.0002.ccpdp;32;354817;1;469571;5;0;0;572533;0;490693;0
../../../testInst/rg-016-q-1x1.0003.ccpdp;32;339151;1;517430;4;0;0;589928;0;539797;0
../../../testInst/rg-016-q-2x2-W0.1.0001.ccpdp;32;267585;1;361332;5;0;0;361332;0;389909;0
../../../testInst/rg-016-q-2x2-W0.1.0002.ccpdp;32;297380;1;415768;7;0;0;454395;0;419697;0
../../../testInst/rg-016-q-2x2-W0.1.0003.ccpdp;32;300576;1;378039;5;0;0;378039;0;378039;0
../../../testInst/rg-016-q-2x2-W0.2.0001.ccpdp;32;237855;1;331495;5;0;0;331495;0;356897;0
../../../testInst/rg-016-q-2x2-W0.2.0002.ccpdp;32;264544;1;369571;4;0;0;403906;0;373062;0
../../../testInst/rg-016-q-2x2-W0.2.0003.ccpdp;32;267181;1;336034;4;0;0;336034;0;336034;0
